"Route ID","标题","国家组合","主策略","辅助策略","Planner Reason","Quality Score","Composition Score","Review Status","是否进入 Feed","数据来源","疑似问题"
"wikivoyage-194179","比利时海岸电车之旅：从克诺克到德潘讷","BE","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-197288","皇家内陆之路：墨西哥至美国的历史银矿路线","MX|US","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-202180","加泰罗尼亚圣雅各之路","ES","其他策略","主题路线;小众目的地路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-209847","卡伯特小径自驾之旅","CA","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-210391","从曼谷到新加坡的陆路之旅","MY|TH","其他策略","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-212434","布罗肯希尔探索者：悉尼至内陆铁路之旅","AU","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-212930","美国西海岸海岸星光号火车之旅","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-218664","玛雅之路：穿越尤卡坦丛林的历史与自然之旅","MX","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-7837","英格兰海岸到海岸徒步路线","GB","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-8985","多瑙河之旅：从黑森林到黑海","DE|HU|RO|SK","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-10063","苏格兰公路自驾之旅","GB","其他策略","主题路线;假期长度路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-10945","帝国建造者号：芝加哥至西雅图/波特兰的铁路之旅","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-127110","玻利维亚乔罗徒步路线","BO","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-130575","库尔加迪至埃斯佩兰斯公路自驾之旅","AU","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-150376","东吉普斯兰铁路小径骑行之旅","AU","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-157064","骑行西撒哈拉：从摩洛哥盖勒敏到塞内加尔圣路易","EH|MA|SN","地缘/邻近国家路线","主题路线;小众目的地路线;反差或非相邻国家组合","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-191080","大吉岭喜马拉雅铁路之旅","IN","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-192256","阿尔梅里亚文化景观之路","ES","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-192367","韦尔瓦文化景观之路","ES","地缘/邻近国家路线","主题路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-201589","埃尔卡米诺山脉公路之旅","US","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-192368","哈恩文化景观之路","ES","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-202466","埃布罗河圣雅各之路","ES","其他策略","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"wikivoyage-175","横穿澳大利亚的铁路之旅","AU","其他策略","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-146378","欧洲E45公路：从挪威阿尔塔到意大利杰拉的南北穿越","AT|DE|DK|NO","地缘/邻近国家路线","主题路线;小众目的地路线;航班/交通组合路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-211493","哥斯达黎加之路：横跨雨林与海岸的徒步之旅","CR","地缘/邻近国家路线","主题路线;小众目的地路线","","0","","accepted","否","source-original","not-feed-eligible;country-combo-overused"
"wikivoyage-178285","E8公路穿越芬兰与挪威","FI|NO","地缘/邻近国家路线","主题路线;航班/交通组合路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-155631","穿越布伦纳山口：从慕尼黑到因斯布鲁克的阿尔卑斯之旅","AT|DE","其他策略","季节路线;主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"wikivoyage-2654","从曼谷到胡志明市的陆路之旅","TH|VN","其他策略","主题路线","","0","","accepted","否","source-original","not-loaded-by-repository;not-feed-eligible"
"planner-designed-::::::Q2044|Q220|Q2634|Q490::9天::Classic First Trip::::Q490>Q2044>Q220>Q2634","意大利9天延展经典初访：米兰","IT","地缘/邻近国家路线","主题路线;假期长度路线;AI 灵感路线","Geographic:米兰作为国际门户，适合初访者抵达并适应时差，开启意大利之旅。 | Theme:从米兰到佛罗伦萨是经典的文化过渡，文艺复兴发源地为初访者提供核心文化体验。 | Efficiency:佛罗伦萨到罗马的路线顺路且高效，罗马作为永恒之城是意大利旅行的必到之处。 | Depth:罗马到那不勒斯距离适中，那不勒斯提供独特的地中海风情与美食，丰富初访印象。 | Geographic:整体路线由北向南线性排列，避免折返，符合9天节奏适中的初访需求。","0","0.757","accepted","否","planner-designed","not-loaded-by-repository;not-feed-eligible"
"planner-designed-::::::Q1524|Q203715|anchor:GR:naxos|anchor:GR:paros::8天::Island Hopping::::Q1524>Q203715>anchor:GR:naxos>anchor:GR:paros","希腊8天经典跳岛：雅典","GR","地缘/邻近国家路线","主题路线;假期长度路线;航班/交通组合路线;AI 灵感路线","Geographic:时长=7-10d(8天)：8-10天适合串联5个主要目的地，保持经典旅行的基本节奏。 | Theme:旅行风格=海岛跳岛：在给定天数内保留5个目的地之间的顺路关系和清晰主题。 | Efficiency:骨架由知识图候选池经最近邻排序生成，目的地来源=知识图。","0","0.757","accepted","否","planner-designed","not-feed-eligible"
"planner-designed-::::::Q1479|anchor:FR:medoc|anchor:FR:saint-emilion::6天::Theme::::Q1479>anchor:FR:saint-emilion>anchor:FR:medoc","法国6天精简主题游：波尔多","FR","地缘/邻近国家路线","主题路线;假期长度路线;AI 灵感路线","Geographic:时长=4-6d(6天)：10-14天适合串联6个主要目的地，保持经典旅行的基本节奏。 | Theme:旅行风格=主题游：在给定天数内保留6个目的地之间的顺路关系和清晰主题。 | Efficiency:骨架由知识图候选池经最近邻排序生成，目的地来源=知识图。","0","0.757","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"planner-designed-::::::anchor:CH:interlaken|anchor:CH:lucerne|anchor:CH:lugano|anchor:CH:st-moritz|anchor:CH:zermatt::8天::Rail Journey::::anchor:CH:lucerne>anchor:CH:interlaken>anchor:CH:zermatt>anchor:CH:st-moritz>anchor:CH:lugano","瑞士8天经典铁路旅程：卢塞恩","CH","地缘/邻近国家路线","主题路线;假期长度路线;航班/交通组合路线;AI 灵感路线","Geographic:时长=7-10d(8天)：8-10天适合串联5个主要目的地，保持经典旅行的基本节奏。 | Theme:旅行风格=铁路旅程：在给定天数内保留5个目的地之间的顺路关系和清晰主题。 | Efficiency:骨架由知识图候选池经最近邻排序生成，目的地来源=知识图。","0","0.757","accepted","否","planner-designed","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"planner-designed-::::::Q1490|Q169134|Q34600|Q35765|Q39231::8天::Classic First Trip::::Q1490>Q39231>Q34600>Q169134>Q35765","日本8天经典经典初访：东京","JP","地缘/邻近国家路线","主题路线;假期长度路线;航班/交通组合路线;AI 灵感路线","Geographic:东京作为国际门户，适合初访者开启旅程，体验现代都市文化。 | Efficiency:富士山位于东京与京都之间，作为自然缓冲，让节奏从都市过渡到古都。 | Theme:京都是日本传统文化代表，不可替代，安排在中段以深度体验。 | Efficiency:奈良靠近京都，作为一日延伸可减少换酒店，同时丰富古都体验。 | Transport:大阪作为关西枢纽和美食之都，适合行程收尾并方便返程。","0","0.757","accepted","否","planner-designed","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"planner-designed-::::::Q4093|anchor:GB:cairngorms-national-park|anchor:GB:edinburgh|anchor:GB:fort-william|anchor:GB:glencoe|anchor:GB:loch-ness::7天::Road Trip::::anchor:GB:edinburgh>anchor:GB:cairngorms-national-park>anchor:GB:loch-ness>anchor:GB:fort-william>anchor:GB:glencoe>Q4093","英国7天经典自驾：爱丁堡","GB","地缘/邻近国家路线","主题路线;假期长度路线;航班/交通组合路线;AI 灵感路线","Geographic:时长=7-10d(7天)：15天以上适合串联8个主要目的地，保持经典旅行的基本节奏。 | Theme:旅行风格=公路自驾：在给定天数内保留8个目的地之间的顺路关系和清晰主题。 | Efficiency:骨架由知识图候选池经最近邻排序生成，目的地来源=知识图。","0","0.757","accepted","否","planner-designed","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"planner-designed-::::::Q84|anchor:GB:greenwich::3天::City Break::::Q84>anchor:GB:greenwich","英国3天精简城市短假：伦敦","GB","地缘/邻近国家路线","主题路线;假期长度路线;AI 灵感路线","Geographic:时长=1-3d(3天)：15天以上适合串联8个主要目的地，保持经典旅行的基本节奏。 | Theme:旅行风格=城市短假：在给定天数内保留8个目的地之间的顺路关系和清晰主题。 | Efficiency:骨架由知识图候选池经最近邻排序生成，目的地来源=知识图。","0","0.757","accepted","否","planner-designed","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"planner-designed-::::::Q169134|Q34600|anchor:JP:arashiyama|anchor:JP:uji::8天::Seasonal::::Q34600>anchor:JP:arashiyama>anchor:JP:uji>Q169134","日本8天经典季节限定：京都","JP","地缘/邻近国家路线","季节路线;主题路线;假期长度路线;航班/交通组合路线;AI 灵感路线","Geographic:京都作为关西交通枢纽，适合作为起点，方便抵达后续目的地。 | Season:岚山紧邻京都，可安排为第二站，避开首日人流高峰，体验竹林与红叶。 | Transport:宇治位于京都和奈良之间，顺路且以平等院红叶闻名，符合季节主题。 | Efficiency:奈良作为终点，鹿群与红叶相映，且从宇治前往交通便捷，减少折返。","0","0.757","accepted","否","planner-designed","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"planner-designed-::::::anchor:JP:kochi|anchor:JP:matsuyama|anchor:JP:takamatsu|anchor:JP:tokushima::12天::Pilgrimage::::anchor:JP:tokushima>anchor:JP:kochi>anchor:JP:matsuyama>anchor:JP:takamatsu","日本12天延展朝圣：德岛","JP","地缘/邻近国家路线","主题路线;假期长度路线;AI 灵感路线","Geographic:时长=10-14d(12天)：15天以上适合串联8个主要目的地，保持经典旅行的基本节奏。 | Theme:旅行风格=朝圣巡礼：在给定天数内保留8个目的地之间的顺路关系和清晰主题。 | Efficiency:骨架由知识图候选池经最近邻排序生成，目的地来源=知识图。","0","0.757","accepted","否","planner-designed","not-loaded-by-repository;not-feed-eligible;country-combo-overused"
"planner-designed-::::::anchor:JP:kamikochi|anchor:JP:kanazawa|anchor:JP:matsumoto|anchor:JP:shirakawa-go|anchor:JP:takayama::10天::Deep Dive::::anchor:JP:kanazawa>anchor:JP:shirakawa-go>anchor:JP:takayama>anchor:JP:kamikochi>anchor:JP:matsumoto","日本10天延展深度探索：金泽","JP","地缘/邻近国家路线","主题路线;假期长度路线;AI 灵感路线","Geographic:时长=10-14d(10天)：15天以上适合串联8个主要目的地，保持经典旅行的基本节奏。 | Theme:旅行风格=区域深度：在给定天数内保留8个目的地之间的顺路关系和清晰主题。 | Efficiency:骨架由知识图候选池经最近邻排序生成，目的地来源=知识图。","0","0.779","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-2-it-first-trip","意大利经典初访","IT","主题路线","假期长度路线;AI 灵感路线","Theme:Duration: 足够覆盖意大利四个代表性文化层，但不足以同时加威尼斯或西西里。 | Theme:Trip Intent: 第一次意大利，应覆盖最具代表性的文化层次，而非最多城市。 | Theme:Travel Style: 以代表性文化层为主线，节奏适中。","0.96","0.867","accepted","是","planner-designed",""
"gold-case-accepted-gold-4-central-europe-hopper","中欧四国快闪","AT|CZ|HU|SK","主题路线","假期长度路线;航班/交通组合路线;AI 灵感路线","Theme:Duration: 不足以深度游一国，也不足以覆盖全欧，但适合多国快闪。 | Theme:Trip Intent: 希望在有限时间体验多个国家，而非单国深度。 | Theme:Travel Style: 目标是最低移动成本体验多国，允许高移动强度但要求成熟交通连接。","0.96","0.867","accepted","是","planner-designed",""
"gold-case-accepted-gold-7-jp-autumn-seasonal","日本关西红叶季","JP","主题路线","季节路线;假期长度路线;AI 灵感路线","Theme:Duration: 旅行日期 11 月中旬已定，季节成为第一约束而非城市位置。 | Theme:Trip Intent: 目标是赏红叶，不是第一次日本。 | Theme:Travel Style: 目标是在最佳时间连续体验同一季节主题，允许减城市以换完整体验。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-8-france-wine-theme","法国葡萄酒之路","FR","主题路线","地缘/邻近国家路线;假期长度路线;AI 灵感路线","Theme:Duration: 足够深入一个葡萄酒产区，不适合同时覆盖多区域。 | Theme:Trip Intent: 目标是体验顶级葡萄酒产区，非法国初访。 | Theme:Travel Style: 整个旅行围绕一种体验展开，地点服务于体验。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-9-greece-island-hopping","希腊跳岛","GR","主题路线","假期长度路线;航班/交通组合路线;AI 灵感路线","Theme:Duration: 不适合走太多岛也不适合只待雅典，选 Island Hopping。 | Theme:Trip Intent: 想体验爱琴海，非雅典历史深度。 | Theme:Travel Style: 交通、节奏、岛屿个性共同组成体验，每岛须有不同角色。","0.96","0.867","accepted","是","planner-designed",""
"gold-case-accepted-gold-c45-3-peru-first-trip","秘鲁经典初访","PE","主题路线","假期长度路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑秘鲁经典初访，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是逐步适应海拔并理解安第斯文明，不是简单打卡地点。 | Theme:Travel Style: 采用Classic First Trip，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-4-morocco-first-trip","摩洛哥经典环线","MA","主题路线","假期长度路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑摩洛哥经典环线，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是串联古城、沙漠和蓝色山城的文化层次，不是简单打卡地点。 | Theme:Travel Style: 采用Classic First Trip，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","是","planner-designed","country-combo-overused"
"gold-case-accepted-gold-c45-5-new-zealand-first-trip","新西兰经典初访","NZ","主题路线","假期长度路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑新西兰经典初访，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是用南北岛代表体验建立新西兰第一印象，不是简单打卡地点。 | Theme:Travel Style: 采用Classic First Trip，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-7-andalusia-deep-dive","安达卢西亚深度","ES","主题路线","地缘/邻近国家路线;假期长度路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑安达卢西亚深度，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是完整体验西班牙南部的伊斯兰遗产与白色山城，不是简单打卡地点。 | Theme:Travel Style: 采用Deep Dive，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-8-patagonia-deep-dive","巴塔哥尼亚深度","AR|CL","主题路线","地缘/邻近国家路线;假期长度路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑巴塔哥尼亚深度，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是围绕冰川、徒步和南部荒野形成完整自然体验，不是简单打卡地点。 | Theme:Travel Style: 采用Deep Dive，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible"
"gold-case-accepted-gold-c45-9-northern-norway-deep-dive","挪威北部深度","NO","主题路线","地缘/邻近国家路线;季节路线;假期长度路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑挪威北部深度，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是深入北极圈海岸、峡湾和极光地区，不是简单打卡地点。 | Theme:Travel Style: 采用Deep Dive，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-10-yucatan-deep-dive","尤卡坦深度","MX","主题路线","地缘/邻近国家路线;假期长度路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑尤卡坦深度，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是围绕玛雅遗址、殖民城市和泻湖形成区域深度，不是简单打卡地点。 | Theme:Travel Style: 采用Deep Dive，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-12-canadian-rockies-road-trip","加拿大落基山自驾","CA","主题路线","假期长度路线;航班/交通组合路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑加拿大落基山自驾，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是把景观公路和国家公园串成连续驾驶体验，不是简单打卡地点。 | Theme:Travel Style: 采用Road Trip，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-13-california-pacific-coast","加州太平洋海岸自驾","US","主题路线","假期长度路线;航班/交通组合路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑加州太平洋海岸自驾，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是让海岸公路本身成为旅行体验，不是简单打卡地点。 | Theme:Travel Style: 采用Road Trip，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","是","planner-designed","country-combo-overused"
"gold-case-accepted-gold-c45-14-south-island-new-zealand","新西兰南岛自驾","NZ","主题路线","假期长度路线;航班/交通组合路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑新西兰南岛自驾，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是沿南岛高山湖泊和峡湾形成景观递进，不是简单打卡地点。 | Theme:Travel Style: 采用Road Trip，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-15-garden-route","南非花园大道自驾","ZA","主题路线","假期长度路线;航班/交通组合路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑南非花园大道自驾，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是沿南非海岸串联观鲸、森林和国家公园，不是简单打卡地点。 | Theme:Travel Style: 采用Road Trip，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-17-japan-jr-grand-route","日本铁路纵贯","JP","主题路线","地缘/邻近国家路线;假期长度路线;航班/交通组合路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑日本铁路纵贯，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是把新干线和区域铁路组织成纵贯体验，不是简单打卡地点。 | Theme:Travel Style: 采用Rail Journey，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-18-norway-scenic-railway","挪威景观铁路","NO","主题路线","假期长度路线;航班/交通组合路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑挪威景观铁路，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是让铁路、峡湾和山地景观共同构成体验，不是简单打卡地点。 | Theme:Travel Style: 采用Rail Journey，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","是","planner-designed","country-combo-overused"
"gold-case-accepted-gold-c45-19-canadian-transcontinental-rail","加拿大横贯铁路","CA","主题路线","假期长度路线;航班/交通组合路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑加拿大横贯铁路，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是用铁路横跨草原、落基山和太平洋海岸，不是简单打卡地点。 | Theme:Travel Style: 采用Rail Journey，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
"gold-case-accepted-gold-c45-22-netherlands-tulip-season","荷兰郁金香季","NL","主题路线","季节路线;假期长度路线;AI 灵感路线","Theme:Duration: 这个时长足以支撑荷兰郁金香季，但不适合无限扩展目的地。 | Theme:Trip Intent: 本路线的目标是围绕春季花期形成不可替代的季节产品，不是简单打卡地点。 | Theme:Travel Style: 采用Seasonal，因为目的地组合、移动方式和体验节奏都服务于同一种产品定位。","0.96","0.867","accepted","否","planner-designed","not-feed-eligible;country-combo-overused"
